uniprot,predictive,VIP
A0A024RAM4,-4.5285,2.0844
A0A024RAN2,-2.4212,1.2582
A0A024RAP2,2.6975,1.0257
A0A024RAQ3,-2.0418,0.74179
A0A024RAV0,4.847,1.9732
A0A024RAV5,-1.8035,0.64609
A0A024RAW6,0.57257,0.13604
A0A024RB01,0.82071,0.25653
A0A024RB05,3.0558,1.1343
A0A024RB12,1.063,0.46693
A0A024RB16,0.073989,0.056207
A0A024RB23,-4.9032,1.8639
A0A024RB32,-0.71376,0.08006
A0A024RB33,-2.6396,1.3074
A0A024RB53,-0.87612,0.59937
A0A024RB62,-2.1033,0.94161
A0A024RB87,-3.299,1.3076
A0A024RB89,-1.1788,0.25121
A0A024RBA9,2.5233,1.1082
A0A024RBB5,-1.4404,0.38141
A0A024RBB7,0.39144,0.004884
A0A024RBD0,-2.6155,1.138
A0A024RBE7,-3.9879,1.8391
A0A024RBE8,1.7788,0.53684
A0A024RBG3,3.0665,1.2028
A0A024RBH2,5.5659,2.2171
A0A024RBI2,-2.0162,1.0319
A0A024RBI7,1.2715,0.44311
A0A024RBJ1,-3.0058,1.0902
A0A024RBL2,0.23839,0.029806
A0A024RBM3,-0.031872,0.25001
A0A024RBN1,-1.1371,0.35627
A0A024RBQ5,2.3765,0.89538
A0A024RBR2,-1.4047,0.84225
A0A024RBR3,0.024125,0.16779
A0A024RBS2,1.2514,0.19256
A0A024RBS4,4.7583,1.8338
A0A024RBU0,0.056948,0.18853
A0A024RBU4,-1.4552,0.81782
A0A024RBV2,2.8522,0.99077
A0A024RBV4,-4.4797,1.771
A0A024RBW9,-4.3009,1.7326
A0A024RBY9,3.6899,1.3478
A0A024RC00,-3.177,1.4924
A0A024RC06,-1.8244,0.49106
A0A024RC16,-1.7692,0.80436
A0A024RC19,0.69782,0.016144
A0A024RC24,-2.1337,0.96695
A0A024RC37,-1.2976,0.6162
A0A024RC42,-4.8367,2.0879
A0A024RC47,-3.4611,1.3992
A0A024RC48,0.3336,0.35706
A0A024RC67,-0.58691,0.31075
A0A024RC68,-0.079033,0.092165
A0A024RC92,-2.284,0.78162
A0A024RC97,1.8118,0.4282
A0A024RCA1,-0.16612,0.17784
A0A024RCB2,0.59603,0.36998
A0A024RCB7,-1.2499,0.22883
A0A024RCB9,-2.8284,1.2882
A0A024RCF8,-0.32416,0.10682
A0A024RCG2,0.48944,0.02118
A0A024RCI6,2.0629,0.91844
A0A024RCJ8,1.2174,0.21422
A0A024RCR2,-3.1281,0.97416
A0A024RCW2,-1.9016,0.77354
A0A024RCX4,0.54432,0.50403
A0A024RCX5,1.0606,0.65477
A0A024RCX7,-0.18406,0.027958
A0A024RCY0,-3.825,1.4831
A0A024RCY9,-2.8957,1.1191
A0A024RCZ8,-5.2318,2.2873
A0A024RD03,2.0998,0.94471
A0A024RD07,-2.7572,1.0944
A0A024RD11,-3.8764,1.8122
A0A024RD18,-2.4671,0.98986
A0A024RD24,-2.9601,1.0656
A0A024RD28,-1.9676,0.50763
A0A024RD36,-0.96969,0.23129
A0A024RD41,-5.1561,1.9766
A0A024RD56,-2.9266,1.224
A0A024RD83,0.89306,0.10874
A0A024RD84,-1.0078,0.19884
A0A024RD93,1.7613,0.85589
A0A024RDA9,-5.5131,2.3621
A0A024RDD7,0.35299,0.36492
A0A024RDE5,0.92029,0.16496
A0A024RDE8,-5.38,2.2278
A0A024RDF4,-2.5769,1.366
A0A024RDF6,-0.6551,0.51685
A0A024RDG1,0.060718,0.13987
A0A024RDG6,4.7959,1.9478
A0A024RDG9,-4.4879,1.7007
A0A024RDH3,0.086262,0.073511
A0A024RDI6,1.7803,0.53548
A0A024RDJ1,-0.22543,0.28869
A0A024RDJ3,-0.1014,0.21689
A0A024RDJ4,2.6215,1.1708
A0A024RDK4,0.90065,0.57731
A0A024RDK9,4.3303,1.9205
A0A024RDL9,2.3835,1.051
A0A024RDN1,0.86247,0.46116
A0A024RDQ5,-2.7844,1.1628
A0A024RDQ7,-2.9986,1.3177
A0A024RDQ8,-2.5907,0.80209
A0A024RDQ9,1.8586,0.60988
A0A024RDR0,-2.3997,1.0336
A0A024RDS1,3.6297,1.2787
A0A024RDS3,-0.021063,0.028089
A0A024RDS7,-0.33471,0.040884
A0A024RDT1,-0.23346,0.16061
A0A024RDT4,2.558,1.2399
A0A024RDT5,-1.579,0.5902
A0A024RDT6,-0.20687,0.40703
A0A024RDT9,1.0867,0.51894
A0A024RDV7,0.5967,0.029264
A0A024RDV9,-0.020389,0.18996
A0A024RDX1,4.0418,1.5719
A0A024RDX3,-0.1109,0.29241
A0A024RDY0,0.21235,0.13893
A0A024RDZ2,0.27478,0.085045
A0A024RE02,0.49038,0.36647
A0A059QFD5,0.077888,0.10413
A0A067XG54,-4.5012,1.842
A0A068F7M9,-4.7213,1.761
A0A075B6G3,-5.009,2.1403
A0A075B738,0.43057,0.40399
A0A075B746,1.007,0.48067
A0A075B7F8,-4.1479,1.4617
A0A075B7G2,-1.4593,0.34687
A0A087WSV0,-1.2979,0.34513
A0A087WSV8,-1.7666,0.55924
A0A087WT12,-5.2252,2.2596
A0A087WT20,1.7032,0.45066
A0A087WT44,3.6115,1.3848
A0A087WTW0,-3.2305,1.1665
A0A087WU53,1.0736,0.21449
A0A087WUB9,-0.46334,0.2695
A0A087WUC6,-0.091545,0.082623
