uniprot,predictive,VIP
A0A024R6Q2,1.8139,1.0251
A0A024R6R1,-0.24533,0.14344
A0A024R6R2,-2.7523,1.3206
A0A024R6S1,-3.4225,1.7494
A0A024R6S6,-2.8262,1.524
A0A024R6T4,1.5775,0.86308
A0A024R6U0,0.48275,0.19346
A0A024R6U3,-2.6539,1.2327
A0A024R6U9,-1.5703,0.69862
A0A024R6W0,-3.0379,1.5598
A0A024R6W2,-2.6578,1.3658
A0A024R6X1,-3.4521,1.8393
A0A024R6Y3,0.43294,0.22663
A0A024R6Z0,-0.30639,0.13219
A0A024R713,-2.0168,0.93001
A0A024R718,3.6026,1.8597
A0A024R726,0.16698,0.012766
A0A024R745,-2.1396,0.98821
A0A024R755,2.5561,1.2519
A0A024R774,0.77439,0.35864
A0A024R781,1,0.44062
A0A024R782,-2.259,1.0685
A0A024R7B7,0.19699,0.030766
A0A024R7C0,-0.91567,0.52005
A0A024R7C5,0.072977,0.012981
A0A024R7D0,0.78355,0.40571
A0A024R7D2,-2.9267,1.4171
A0A024R7E0,2.9345,1.496
A0A024R7E1,-0.1269,0.082402
A0A024R7E3,-0.20598,0.26628
A0A024R7F9,-2.5727,1.2886
A0A024R7I0,-3.1497,1.6708
A0A024R7I3,-0.56688,0.2077
A0A024R7I4,0.18918,0.057649
A0A024R7I5,-1.9535,0.94619
A0A024R7J0,-3.0258,1.5708
A0A024R7K2,1.5147,0.73647
A0A024R7K9,-1.4106,0.70615
A0A024R7L2,-0.23524,0.17906
A0A024R7M0,2.1601,1.199
A0A024R7M1,-0.50459,0.18444
A0A024R7M6,0.19887,0.037989
A0A024R7N6,-3.2879,1.7459
A0A024R7N7,-0.87401,0.45587
A0A024R7R0,0.48175,0.15317
A0A024R7S3,-2.5814,1.3257
A0A024R7T3,1.1858,0.67926
A0A024R7U6,-2.438,1.2295
A0A024R7X0,-2.0442,1.0535
A0A024R7X7,-3.305,1.6342
A0A024R806,-0.52944,0.20141
A0A024R814,-0.73802,0.35435
A0A024R816,2.1911,1.1112
A0A024R823,-1.3503,0.72616
A0A024R829,0.092706,0.03518
A0A024R837,-1.8586,0.98588
A0A024R838,0.21743,0.077429
A0A024R845,1.0433,0.62763
A0A024R850,-1.9706,1.0153
A0A024R857,-3.2446,1.7354
A0A024R869,0.8825,0.50228
A0A024R870,-0.86537,0.51836
A0A024R877,1.5079,0.69139
A0A024R880,-0.99976,0.72948
A0A024R886,3.0262,1.5804
A0A024R892,-0.35617,0.27486
A0A024R899,-0.027407,0.10592
A0A024R8A0,-2.219,1.1055
A0A024R8A2,1.8328,0.9158
A0A024R8A7,-1.5063,0.6708
A0A024R8B0,1.1241,0.74547
A0A024R8B2,-0.31652,0.133
A0A024R8B6,-3.1629,1.6806
A0A024R8C1,-0.56752,0.24191
A0A024R8C7,0.52693,0.26498
A0A024R8D2,0.12088,0.017569
A0A024R8D4,-0.64446,0.37851
A0A024R8D5,3.4814,1.7548
A0A024R8E4,-1.159,0.66859
A0A024R8G6,0.37111,0.12026
A0A024R8J2,-1.2992,0.69739
A0A024R8K0,-1.3338,0.72023
A0A024R8K8,0.03535,0.10302
A0A024R8L5,3.3235,1.6997
A0A024R8L7,1.0954,0.4517
A0A024R8N2,-2.9157,1.5617
A0A024R8N6,-3.3922,1.7239
A0A024R8P8,-2.0285,0.9534
A0A024R8Q1,2.0254,0.95017
A0A024R8R4,3.2034,1.5997
A0A024R8R6,-2.8564,1.5475
A0A024R8S5,3.8273,1.9799
A0A024R8T9,-2.993,1.5753
A0A024R8U1,2.6728,1.4745
A0A024R8U4,0.25741,0.16018
A0A024R8U5,1.6988,0.84751
A0A024R8U7,3.4638,1.7825
A0A024R8V6,1.1985,0.63992
A0A024R8W0,1.0611,0.57234
A0A024R8W9,-1.6697,0.74695
A0A024R8Y1,-0.1173,0.11748
A0A024R8Y2,2.269,1.1261
A0A024R8Y7,-1.2835,0.63256
A0A024R8Z9,-3.1607,1.6045
A0A024R904,-1.1894,0.63191
A0A024R911,-1.1914,0.65323
A0A024R912,1.3328,0.55785
A0A024R914,0.011448,0.087166
A0A024R915,2.4143,1.1677
A0A024R943,1.5104,0.81883
A0A024R957,-0.48972,0.25883
A0A024R962,3.1027,1.6635
A0A024R978,0.30699,0.1932
A0A024R994,-0.92434,0.35029
A0A024R9A0,-0.70294,0.28053
A0A024R9A4,1.7325,0.81853
A0A024R9A9,-2.7672,1.4424
A0A024R9B0,1.2405,0.56155
A0A024R9B5,-2.9487,1.574
A0A024R9B8,-1.5057,0.78178
A0A024R9D7,-2.078,1.0236
A0A024R9D8,-2.9793,1.5193
A0A024R9D9,0.4286,0.19382
A0A024R9E0,0.78245,0.46791
A0A024R9E4,-0.47537,0.1689
A0A024R9F2,1.006,0.60077
A0A024R9G4,-1.4696,0.83117
A0A024R9H2,0.86501,0.48101
A0A024R9I0,3.4208,1.7564
A0A024R9I8,1.0521,0.46408
A0A024R9J0,0.48928,0.44701
A0A024R9J7,-1.9937,1.0426
A0A024R9K4,-1.4592,0.72161
A0A024R9K7,1.3503,0.76721
A0A024R9L1,0.29504,0.24397
A0A024R9M9,3.5616,1.8784
A0A024R9N6,-1.1475,0.65145
A0A024R9P0,-1.4887,0.76109
A0A024R9R7,1.0132,0.55624
A0A024R9T3,-2.4322,1.2011
A0A024R9T5,0.72738,0.29572
A0A024R9T6,0.19738,0.0061748
A0A024R9V7,-1.5736,0.72987
A0A024R9W8,-1.1137,0.52594
A0A024R9Y3,3.4591,1.7648
A0A024R9Y5,2.0767,0.94487
A0A024R9Y6,0.45612,0.125
A0A024R9Y7,-1.1946,0.64832
A0A024R9Z8,2.2051,1.2658
A0A024RA36,-0.44541,0.24709
A0A024RA38,-0.59226,0.13835
A0A024RA51,-0.60494,0.26608
A0A024RA52,-0.95243,0.35165
A0A024RA53,-0.63005,0.37825
A0A024RA58,3.021,1.543
A0A024RA66,-1.4941,0.78327
A0A024RA75,0.10475,0.090746
A0A024RA89,1.1503,0.54884
A0A024RAC0,-0.33686,0.23794
A0A024RAC5,-1.2594,0.80258
A0A024RAC9,-1.65,0.90941
A0A024RAD5,2.1328,1.1811
A0A024RAD7,-0.41753,0.16866
A0A024RAD8,-2.4748,1.2681
A0A024RAE1,-2.3672,1.2073
A0A024RAF0,-1.1374,0.51091
A0A024RAF7,0.72422,0.44869
A0A024RAH0,0.75438,0.33812
A0A024RAH8,0.37273,0.1685
A0A024RAI1,-0.97224,0.47428
A0A024RAJ4,2.3332,1.079
A0A024RAJ9,2.6576,1.2867
A0A024RAL9,-2.0626,1.0212
A0A024RAM0,-0.49029,0.29155
A0A024RAM2,2.671,1.2963
A0A024RAM4,-0.6698,0.36474
A0A024RAP4,-0.069529,0.083339
A0A024RAQ3,-0.46082,0.2779
A0A024RAV0,-1.6464,0.72695
A0A024RAV5,1.7357,0.81221
A0A024RAW6,3.178,1.6492
A0A024RB01,2.5353,1.3083
A0A024RB05,3.7388,1.9023
A0A024RB12,2.2372,1.048
A0A024RB23,-3.5118,1.838
A0A024RB32,1.4368,0.67068
A0A024RB33,-1.4887,0.76339
A0A024RB53,1.3525,0.67372
A0A024RB62,0.0028358,0.068457
A0A024RB87,1.1504,0.68901
A0A024RB89,0.55963,0.26056
A0A024RBA9,2.5697,1.3121
A0A024RBB5,-1.5688,0.86144
A0A024RBB7,-0.09571,0.14144
A0A024RBD0,0.67379,0.31865
A0A024RBE7,-0.84147,0.4156
A0A024RBE8,-3.0338,1.5627
A0A024RBE9,-0.43198,0.14158
A0A024RBG3,0.95507,0.49673
A0A024RBG7,-0.21246,0.086573
A0A024RBH2,3.4031,1.8101
A0A024RBI2,-0.3357,0.14765
A0A024RBI7,1.086,0.55053
A0A024RBJ1,3.2768,1.7218
A0A024RBL0,2.6196,1.2838
A0A024RBL2,-1.041,0.50788
A0A024RBN1,-0.61113,0.28971
A0A024RBQ5,0.59259,0.41068
A0A024RBR2,-0.72834,0.3087
A0A024RBR3,0.66138,0.36012
A0A024RBS2,-0.22983,0.1057
A0A024RBU0,-0.019716,0.17801
A0A024RBU4,2.3731,1.1694
A0A024RBV2,-0.83572,0.44519
A0A024RBV4,-2.3788,1.2462
A0A024RBX8,0.098154,0.094408
A0A024RBY9,-2.3551,1.1649
A0A024RC00,-2.0309,1.0923
A0A024RC06,1.0653,0.51725
A0A024RC16,-1.7547,1.003
A0A024RC19,2.1113,1.0707
A0A024RC24,-2.8787,1.4431
A0A024RC29,-2.4253,1.3233
A0A024RC37,-0.6029,0.38188
A0A024RC42,-0.72915,0.46172
A0A024RC47,-1.1045,0.66638
A0A024RC48,-1.811,0.83164
A0A024RC67,0.95582,0.52613
A0A024RC68,0.35318,0.26722
A0A024RC97,-0.44765,0.18817
A0A024RCA1,1.0666,0.48592
A0A024RCB2,-2.5039,1.1539
A0A024RCB7,-2.2606,1.1237
A0A024RCB9,0.59955,0.27095
A0A024RCF8,3.2907,1.634
A0A024RCG2,2.8414,1.4876
A0A024RCJ8,-0.048168,0.12962
A0A024RCK7,0.75046,0.40446
A0A024RCN4,1.6443,0.91169
A0A024RCR2,2.2018,1.0885
A0A024RCW2,0.55935,0.30397
A0A024RCX4,0.62485,0.36855
A0A024RCX5,-0.9841,0.61343
A0A024RCX7,3.0425,1.5609
A0A024RCY0,1.7408,0.81996
A0A024RCY7,2.5668,1.2171
A0A024RCY9,-1.2814,0.6383
A0A024RCZ8,0.55239,0.30455
A0A024RD03,-2.9128,1.4377
A0A024RD07,2.7798,1.3749
A0A024RD11,0.53001,0.31933
A0A024RD12,1.0316,0.42797
A0A024RD18,-3.101,1.629
A0A024RD24,-2.7318,1.4582
A0A024RD28,1.0269,0.58945
A0A024RD36,-1.9317,0.89875
A0A024RD41,1.7734,0.91288
A0A024RD56,3.3114,1.7274
A0A024RD83,-2.5176,1.3214
A0A024RD84,-0.2779,0.13224
A0A024RD93,-2.3122,1.1035
A0A024RDA9,-1.2679,0.71994
A0A024RDB2,1.1439,0.67699
A0A024RDB8,1.536,0.76631
A0A024RDD7,-1.3366,0.58582
A0A024RDE5,-1.371,0.6875
A0A024RDE8,-3.2157,1.7178
A0A024RDF4,-0.20211,0.13021
A0A024RDF6,0.65609,0.4334
A0A024RDG1,3.2166,1.6652
A0A024RDG6,3.7876,1.9433
A0A024RDG9,1.3934,0.70003
A0A024RDH3,-0.81682,0.35223
A0A024RDI6,1.681,0.87726
A0A024RDJ1,-0.32158,0.096536
A0A024RDJ3,0.18972,0.021427
A0A024RDJ4,-0.61378,0.1952
A0A024RDK4,1.295,0.68542
A0A024RDK6,2.548,1.2876
