uniprot,predictive,VIP
A0A096WXL7,-2.0608,1.1332
A0A097PID1,-1.8965,1.0927
A0A0A0MQR1,3.0614,1.6145
A0A0A0MQS1,1.5833,0.87415
A0A0A0MQS2,0.054776,0.01604
A0A0A0MQS6,-1.9042,1.1519
A0A0A0MQT0,0.057072,0.18258
A0A0A0MQU4,-1.5709,0.90094
A0A0A0MQX1,-0.14189,0.28328
A0A0A0MQX8,0.72914,0.45613
A0A0A0MR39,-2.2391,1.2623
A0A0A0MR51,2.4044,1.3085
A0A0A0MR66,0.58415,0.37963
A0A0A0MRC4,-0.63338,0.34092
A0A0A0MRI2,-0.743,0.4574
A0A0A0MRJ3,-0.00047297,0.13292
A0A0A0MRK6,-2.5858,1.444
A0A0A0MRM8,-2.3086,1.3589
A0A0A0MRM9,0.83881,0.48119
A0A0A0MRP2,-1.5827,0.99721
A0A0A0MRR2,1.8118,1.0698
A0A0A0MRR7,2.1274,1.1825
A0A0A0MRU5,-1.9459,1.0888
A0A0A0MRX4,0.79586,0.41114
A0A0A0MS24,-1.7481,0.97327
A0A0A0MS52,-0.58028,0.24609
A0A0A0MSF4,1.5604,1.0413
A0A0A0MSF9,1.5828,0.98148
A0A0A0MSG2,-2.3327,1.3313
A0A0A0MSJ9,2.7665,1.6839
A0A0A0MSS8,1.5268,0.90099
A0A0A0MST0,-2.5089,1.4533
A0A0A0MSV9,0.55147,0.16502
A0A0A0MSZ4,-2.708,1.5624
A0A0A0MT23,-2.0288,1.1862
A0A0A0MT33,0.20228,0.035604
A0A0A0MT35,0.58867,0.30384
A0A0A0MT60,0.98659,0.44181
A0A0A0MT83,-2.2053,1.2865
A0A0A0MTH3,-1.4414,0.86761
A0A0A0MTH9,-0.13725,0.00088965
A0A0A0MTN0,-1.4395,0.83799
A0A0A0MTQ8,-3.151,1.8083
A0A0A0MTR7,1.1402,0.59765
A0A0A0MTS2,-1.3868,0.76887
A0A0A0MTS7,0.29795,0.10564
A0A0A0RAS4,-0.26286,0.033043
A0A0A1HAV6,1.2003,0.57253
A0A0A1TTQ0,-3.2163,1.817
A0A0A6YYH1,-1.1771,0.65908
A0A0A6YYJ5,-3.0679,1.7159
