#ncbi_taxid	child_cluster_id	parent_cluster_id
9606	CL:1467	CL:1466
9606	CL:14682	CL:14573
9606	CL:14683	CL:14682
9606	CL:14686	CL:14683
9606	CL:14687	CL:14686
9606	CL:14690	CL:14687
9606	CL:14692	CL:14690
9606	CL:147	CL:145
9606	CL:14714	CL:14690
9606	CL:14735	CL:14686
9606	CL:14752	CL:14683
9606	CL:1476	CL:1466
9606	CL:14764	CL:14682
9606	CL:14796	CL:14570
9606	CL:148	CL:147
9606	CL:14812	CL:14567
9606	CL:14840	CL:14563
9606	CL:14842	CL:14840
9606	CL:14844	CL:14842
9606	CL:14876	CL:14562
9606	CL:14879	CL:14876
9606	CL:14897	CL:14561
9606	CL:14898	CL:14897
9606	CL:149	CL:148
9606	CL:14901	CL:14898
9606	CL:14904	CL:14901
9606	CL:14935	CL:14898
9606	CL:14947	CL:14897
9606	CL:1496	CL:1328
9606	CL:14963	CL:14558
9606	CL:14965	CL:14963
9606	CL:14966	CL:14965
9606	CL:14967	CL:14966
9606	CL:14968	CL:14967
9606	CL:14970	CL:14968
9606	CL:14973	CL:14970
9606	CL:14976	CL:14973
9606	CL:14978	CL:14976
9606	CL:14980	CL:14978
9606	CL:14982	CL:14980
9606	CL:14983	CL:14982
9606	CL:14985	CL:14983
9606	CL:1499	CL:1496
9606	CL:15	CL:11
9606	CL:1501	CL:1499
9606	CL:15108	CL:14982
9606	CL:1513	CL:1499
9606	CL:15156	CL:14973
9606	CL:15180	CL:14968
9606	CL:15182	CL:15180
9606	CL:15192	CL:15180
9606	CL:15203	CL:14967
9606	CL:15205	CL:15203
9606	CL:15206	CL:15205
9606	CL:15207	CL:15206
9606	CL:15218	CL:15206
9606	CL:15227	CL:15205
9606	CL:15248	CL:15203
9606	CL:15262	CL:14966
9606	CL:15272	CL:14965
9606	CL:15274	CL:15272
9606	CL:15277	CL:15274
9606	CL:15298	CL:15272
9606	CL:15321	CL:14963
9606	CL:15335	CL:14557
9606	CL:15345	CL:14556
9606	CL:15357	CL:14555
9606	CL:15358	CL:15357
9606	CL:1536	CL:1327
9606	CL:15361	CL:15358
9606	CL:15364	CL:15361
9606	CL:15366	CL:15364
9606	CL:15368	CL:15366
